movie_id,languages_id
19995,E
19995,n
19995,g
19995,l
19995,i
19995,s
19995,h
285,E
285,n
285,g
285,l
285,i
285,s
285,h
206647,E
206647,n
206647,g
206647,l
206647,i
206647,s
206647,h
49026,E
49026,n
49026,g
49026,l
49026,i
49026,s
49026,h
49529,E
49529,n
49529,g
49529,l
49529,i
49529,s
49529,h
559,E
559,n
559,g
559,l
559,i
559,s
559,h
38757,E
38757,n
38757,g
38757,l
38757,i
38757,s
38757,h
99861,E
99861,n
99861,g
99861,l
99861,i
99861,s
99861,h
767,E
767,n
767,g
767,l
767,i
767,s
767,h
209112,E
209112,n
209112,g
209112,l
209112,i
209112,s
209112,h
1452,E
1452,n
1452,g
1452,l
1452,i
1452,s
1452,h
10764,E
10764,n
10764,g
10764,l
10764,i
10764,s
10764,h
58,E
58,n
58,g
58,l
58,i
58,s
58,h
57201,E
57201,n
57201,g
57201,l
57201,i
57201,s
57201,h
49521,E
49521,n
49521,g
49521,l
49521,i
49521,s
49521,h
2454,E
2454,n
2454,g
2454,l
2454,i
2454,s
2454,h
24428,E
24428,n
24428,g
24428,l
24428,i
24428,s
24428,h
1865,E
1865,n
1865,g
1865,l
1865,i
1865,s
1865,h
41154,E
41154,n
41154,g
41154,l
41154,i
41154,s
41154,h
122917,E
122917,n
122917,g
122917,l
122917,i
122917,s
122917,h
1930,E
1930,n
1930,g
1930,l
1930,i
1930,s
1930,h
20662,E
20662,n
20662,g
20662,l
20662,i
20662,s
20662,h
57158,E
57158,n
57158,g
57158,l
57158,i
57158,s
57158,h
2268,E
2268,n
2268,g
2268,l
2268,i
2268,s
2268,h
254,E
254,n
254,g
254,l
254,i
254,s
254,h
597,E
597,n
597,g
597,l
597,i
597,s
597,h
271110,E
271110,n
271110,g
271110,l
271110,i
271110,s
271110,h
44833,E
44833,n
44833,g
44833,l
44833,i
44833,s
44833,h
135397,E
135397,n
135397,g
135397,l
135397,i
135397,s
135397,h
37724,E
37724,n
37724,g
37724,l
37724,i
37724,s
37724,h
558,E
558,n
558,g
558,l
558,i
558,s
558,h
68721,E
68721,n
68721,g
68721,l
68721,i
68721,s
68721,h
12155,E
12155,n
12155,g
12155,l
12155,i
12155,s
12155,h
36668,E
36668,n
36668,g
36668,l
36668,i
36668,s
36668,h
62211,E
62211,n
62211,g
62211,l
62211,i
62211,s
62211,h
8373,E
8373,n
8373,g
8373,l
8373,i
8373,s
8373,h
91314,E
91314,n
91314,g
91314,l
91314,i
91314,s
91314,h
68728,E
68728,n
68728,g
68728,l
68728,i
68728,s
68728,h
102382,E
102382,n
102382,g
102382,l
102382,i
102382,s
102382,h
20526,E
20526,n
20526,g
20526,l
20526,i
20526,s
20526,h
49013,E
49013,n
49013,g
49013,l
49013,i
49013,s
49013,h
44912,E
44912,n
44912,g
44912,l
44912,i
44912,s
44912,h
10193,E
10193,n
10193,g
10193,l
10193,i
10193,s
10193,h
534,E
534,n
534,g
534,l
534,i
534,s
534,h
168259,E
168259,n
168259,g
168259,l
168259,i
168259,s
168259,h
72190,E
72190,n
72190,g
72190,l
72190,i
72190,s
72190,h
127585,E
127585,n
127585,g
127585,l
127585,i
127585,s
127585,h
54138,E
54138,n
54138,g
54138,l
54138,i
54138,s
54138,h
81005,E
81005,n
81005,g
81005,l
81005,i
81005,s
81005,h
64682,E
64682,n
64682,g
64682,l
64682,i
64682,s
64682,h
9543,E
9543,n
9543,g
9543,l
9543,i
9543,s
9543,h
68726,E
68726,n
68726,g
68726,l
68726,i
68726,s
68726,h
38356,E
38356,n
38356,g
38356,l
38356,i
38356,s
38356,h
217,E
217,n
217,g
217,l
217,i
217,s
217,h
105864,E
105864,n
105864,g
105864,l
105864,i
105864,s
105864,h
62177,E
62177,n
62177,g
62177,l
62177,i
62177,s
62177,h
188927,E
188927,n
188927,g
188927,l
188927,i
188927,s
188927,h
10681,E
10681,n
10681,g
10681,l
10681,i
10681,s
10681,h
5174,E
5174,n
5174,g
5174,l
5174,i
5174,s
5174,h
14161,E
14161,n
14161,g
14161,l
14161,i
14161,s
14161,h
17979,E
17979,n
17979,g
17979,l
17979,i
17979,s
17979,h
76757,E
76757,n
76757,g
76757,l
76757,i
76757,s
76757,h
258489,E
258489,n
258489,g
258489,l
258489,i
258489,s
258489,h
411,E
411,n
411,g
411,l
411,i
411,s
411,h
246655,E
246655,n
246655,g
246655,l
246655,i
246655,s
246655,h
155,E
155,n
155,g
155,l
155,i
155,s
155,h
14160,E
14160,n
14160,g
14160,l
14160,i
14160,s
14160,h
15512,E
15512,n
15512,g
15512,l
15512,i
15512,s
15512,h
1726,E
1726,n
1726,g
1726,l
1726,i
1726,s
1726,h
44826,E
44826,n
44826,g
44826,l
44826,i
44826,s
44826,h
8487,E
8487,n
8487,g
8487,l
8487,i
8487,s
8487,h
1735,E
1735,n
1735,g
1735,l
1735,i
1735,s
1735,h
297761,E
297761,n
297761,g
297761,l
297761,i
297761,s
297761,h
2698,E
2698,n
2698,g
2698,l
2698,i
2698,s
2698,h
137113,E
137113,n
137113,g
137113,l
137113,i
137113,s
137113,h
9804,E
9804,n
9804,g
9804,l
9804,i
9804,s
9804,h
14869,E
14869,n
14869,g
14869,l
14869,i
14869,s
14869,h
150540,E
150540,n
150540,g
150540,l
150540,i
150540,s
150540,h
278927,E
278927,n
278927,g
278927,l
278927,i
278927,s
278927,h
10138,E
10138,n
10138,g
10138,l
10138,i
10138,s
10138,h
58595,E
58595,n
58595,g
58595,l
58595,i
58595,s
58595,h
102651,E
102651,n
102651,g
102651,l
102651,i
102651,s
102651,h
119450,E
119450,n
119450,g
119450,l
119450,i
119450,s
119450,h
79698,E
79698,n
79698,g
79698,l
79698,i
79698,s
79698,h
64686,E
64686,n
64686,g
64686,l
64686,i
64686,s
64686,h
100402,E
100402,n
100402,g
100402,l
100402,i
100402,s
100402,h
10192,E
10192,n
10192,g
10192,l
10192,i
10192,s
10192,h
158852,E
158852,n
158852,g
158852,l
158852,i
158852,s
158852,h
177572,E
177572,n
177572,g
177572,l
177572,i
177572,s
177572,h
82690,E
82690,n
82690,g
82690,l
82690,i
82690,s
82690,h
5255,E
5255,n
5255,g
5255,l
5255,i
5255,s
5255,h
47933,E
47933,n
47933,g
47933,l
47933,i
47933,s
47933,h
10191,E
10191,n
10191,g
10191,l
10191,i
10191,s
10191,h
296,E
296,n
296,g
296,l
296,i
296,s
296,h
118340,E
118340,n
118340,g
118340,l
118340,i
118340,s
118340,h
157336,E
157336,n
157336,g
157336,l
157336,i
157336,s
157336,h
27205,E
27205,n
27205,g
27205,l
27205,i
27205,s
27205,h
315011,J
315011,a
315011,p
315011,a
315011,n
315011,e
315011,s
315011,e
49051,E
49051,n
49051,g
49051,l
49051,i
49051,s
49051,h
9799,E
9799,n
9799,g
9799,l
9799,i
9799,s
9799,h
4922,E
4922,n
4922,g
4922,l
4922,i
4922,s
4922,h
49538,E
49538,n
49538,g
49538,l
49538,i
49538,s
49538,h
131634,E
131634,n
131634,g
131634,l
131634,i
131634,s
131634,h
27022,E
27022,n
27022,g
27022,l
27022,i
27022,s
27022,h
503,E
503,n
503,g
503,l
503,i
503,s
503,h
241259,E
241259,n
241259,g
241259,l
241259,i
241259,s
241259,h
810,E
810,n
810,g
810,l
810,i
810,s
810,h
68735,E
68735,n
68735,g
68735,l
68735,i
68735,s
68735,h
87101,E
87101,n
87101,g
87101,l
87101,i
87101,s
87101,h
10140,E
10140,n
10140,g
10140,l
10140,i
10140,s
10140,h
676,E
676,n
676,g
676,l
676,i
676,s
676,h
1858,E
1858,n
1858,g
1858,l
1858,i
1858,s
1858,h
1966,E
1966,n
1966,g
1966,l
1966,i
1966,s
1966,h
675,E
675,n
675,g
675,l
675,i
675,s
675,h
674,E
674,n
674,g
674,l
674,i
674,s
674,h
8960,E
8960,n
8960,g
8960,l
8960,i
8960,s
8960,h
6479,E
6479,n
6479,g
6479,l
6479,i
6479,s
